S.No,States/UTs,"Traffic Light Signal(Total number
of Accidents)","Traffic Light Signal(Persons
Killed)","Traffic Light Signal(Greviously
Injured)",Traffic Light Signal(Minor Injury),Traffic Light Signal(Total Injured),"Police Controlled(Total number
of Accidents)","Police Controlled(Persons
Killed)","Police Controlled(Greviously
Injured)","Police Controlled(Minor
Injury)",Police Controlled(Total Injured),"Stop Sign(Total number
of Accidents)","Stop Sign(Persons
Killed)","Stop Sign(Greviously
Injured)","Stop Sign(Minor
Injury)","Stop Sign(Total
Injured)","Flashing Signal/Blinker(Total number
of Accidents)","Flashing Signal/Blinker(Persons
Killed)","Flashing Signal/Blinker(Greviously
Injured)",Flashing Signal/Blinker(Minor Injury),Flashing Signal/Blinker(Total Injured),"Uncontrolled(Total number
of Accidents)",Uncontrolled(Persons Killed),"Persons Killed(Greviously
Injured)","Persons Killed(Minor
Injury)","Persons Killed(Total
Injured)","Others(Total number
of Accidents)","Others(Persons
Killed)","Others(Greviously
Injured)","Others(Minor
Injury)","Others(Total
Injured)"
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,27,28,29,30,31,32,33,34
1,Andhra Pradesh,781,140,249,344,593,812,194,388,371,759,304,114,76,210,286,520,195,178,346,524,"3,758","1,426","1,555","1,872","3,427","15,381","6,117","3,151","12,300","15,451"
2,Arunachal Pradesh,0,0,0,0,0,14,9,21,8,29,17,12,27,14,41,29,18,38,16,54,85,47,93,43,136,138,71,58,29,87
3,Assam,127,31,80,7,87,181,38,113,5,118,116,17,48,3,51,166,52,91,16,107,"1,112",396,879,114,993,"5,709","2,502","4,001",406,"4,407"
4,Bihar,0,0,0,0,0,26,17,16,8,24,0,0,0,0,0,0,0,0,0,0,"1,948","1,499","1,240",111,"1,351","7,579","6,144","6,317",254,"6,571"
5,Chhattisgarh,192,31,23,96,119,149,46,10,126,136,37,6,3,18,21,132,43,14,75,89,"2,247",958,231,"1,391","1,622","9,618","4,287","1,260","7,436","8,696"
6,Goa,20,3,0,3,3,27,0,2,3,5,0,0,0,0,0,1,0,0,0,0,265,14,10,65,75,"2,536",209,206,554,760
7,Gujarat,191,50,97,66,163,212,87,89,90,179,89,34,46,26,72,25,8,11,12,23,"3,229","1,497","1,772","1,238","3,010","11,440","5,776","5,834","4,409","10,243"
8,Haryana,143,63,24,71,95,22,3,8,16,24,47,5,9,50,59,129,53,12,80,92,"1,372",618,444,734,"1,178","8,220","3,964","1,465","5,208","6,673"
9,Himachal Pradesh,2,1,0,4,4,4,1,2,0,2,1,1,0,0,0,1,0,0,2,2,71,23,33,57,90,"2,325","1,026","1,202","2,154","3,356"
10,Jharkhand,7,6,0,1,1,6,3,2,1,3,6,3,2,1,3,6,3,2,1,3,"1,514",988,850,163,"1,013","3,189","2,510","1,746",458,"2,204"
11,Karnataka,784,157,419,272,691,666,92,352,345,697,346,110,143,139,282,256,42,174,115,289,"6,725","1,764","3,719","3,518","7,237","25,870","7,873","14,526","17,032","31,558"
12,Kerala,717,69,560,220,780,987,86,756,313,"1,069",105,6,82,43,125,416,37,339,118,457,"7,781",741,"6,282","2,224","8,506","23,290","2,490","18,476","7,362","25,838"
13,Madhya Pradesh,167,13,15,142,157,194,36,41,160,201,220,39,44,183,227,203,33,33,172,205,"13,882","2,911","1,742","12,029","13,771","34,211","9,025","4,210","30,185","34,395"
14,Maharashtra,86,27,50,31,81,132,68,75,29,104,55,14,46,6,52,93,31,59,15,74,"2,532","1,099","1,358",491,"1,849","26,579","12,289","14,485","6,426","20,911"
15,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,58,20,16,56,72,307,90,132,297,429
16,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,0,2,237,180,164,97,261
17,Mizoram,0,0,0,0,0,7,2,3,0,3,0,0,0,0,0,0,0,0,0,0,62,54,32,30,62,0,0,0,0,0
18,Nagaland,0,0,0,0,0,23,0,7,11,18,0,0,0,0,0,0,0,0,0,0,56,8,16,28,44,667,47,99,219,318
19,Orissa,291,140,130,91,221,329,136,153,92,245,214,106,93,58,151,144,63,67,43,110,"1,909",881,951,569,"1,520","8,096","3,755","4,353","3,182","7,535"
20,Punjab,222,149,71,40,111,229,174,66,35,101,131,85,43,29,72,133,106,42,18,60,348,269,104,40,144,"4,808","3,806","1,706",878,"2,584"
21,Rajasthan,211,44,63,103,166,55,10,17,39,56,67,35,14,46,60,55,20,13,31,44,"2,852","1,304",604,"1,765","2,369","17,711","8,630","4,465","12,184","16,649"
22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,9,11,20,135,51,122,102,224
23,Tamil Nadu,"2,403",634,"1,056","1,316","2,372","1,247",279,511,732,"1,243","1,109",308,399,738,"1,137","1,366",369,576,875,"1,451","2,801",740,"1,265","1,727","2,992","46,756","13,054","19,336","27,465","46,801"
24,Telangana,449,70,53,371,424,319,47,44,274,318,96,15,15,75,90,131,14,27,104,131,"6,971","2,167",811,"5,711","6,522","13,349","5,244","1,620","11,002","12,622"
25,Tripura,0,0,0,0,0,4,1,5,0,5,0,0,0,0,0,0,0,0,0,0,7,1,9,0,9,468,192,525,8,533
26,Uttarakhand,9,4,8,2,10,27,9,20,4,24,0,0,0,0,0,7,3,3,0,3,41,28,19,9,28,"1,321",776,758,268,"1,026"
27,Uttar Pradesh,712,361,231,235,466,958,521,333,277,610,"1,135",580,426,370,796,977,511,394,267,661,"9,252","5,068","3,846","2,168","6,014","24,695","14,186","10,916","5,434","16,350"
28,West Bengal,417,76,222,146,368,301,129,148,51,199,96,20,52,42,94,71,17,39,21,60,489,144,305,120,425,"10,563","5,414","7,910","1,398","9,308"
29,A & N Islands,6,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,5,6,98,15,27,58,85
30,Chandigarh,72,31,4,63,67,0,0,0,0,0,0,0,0,0,0,14,10,0,11,11,3,1,0,4,4,119,54,5,85,90
31,D & N Haveli,13,12,2,1,3,7,5,5,6,11,63,29,49,37,86,12,6,11,4,15,26,11,20,13,33,19,13,14,9,23
32,Daman & Diu,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,
33,Delhi,497,105,12,430,442,121,30,14,92,106,219,53,17,170,187,188,68,7,127,134,631,193,41,474,515,"3,064",790,88,"2,801","2,889"
34,Jammu & Kashmir,6,1,4,0,4,169,42,155,22,177,0,0,0,0,0,0,0,0,0,0,517,96,496,162,658,"4,760",635,"3,328","2,805","6,133"
35,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,56,50,192,242
36,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,6
37,Puducherry,48,5,17,33,50,28,5,12,18,30,21,3,9,13,22,17,3,3,11,14,572,93,192,405,597,363,31,239,147,386
