S.No,State/UTs,Urban,Rural,Total
1,Andhra Pradesh,1993,5695,7688
2,Arunachal Pradesh,87,36,123
3,Assam,1493,1344,2837
4,Bihar,2578,5664,8242
5,Chhattisgarh,1103,4343,5446
6,Goa,72,181,253
7,Gujarat,2114,4885,6999
8,Haryana,2025,2568,4593
9,Himachal Pradesh,144,720,864
10,Jharkhand,798,2772,3570
11,Karnataka,2851,8003,10854
12,Kerala,1047,3057,4104
13,Madhya Pradesh,3617,8566,12183
14,Maharashtra,3901,10157,14058
15,Manipur,38,71,109
16,Meghalaya,35,112,147
17,Mizoram,48,46,94
18,Nagaland,47,20,67
19,Odisha,1602,3538,5140
20,Punjab,2020,2398,4418
21,Rajasthan,2498,7563,10061
22,Sikkim,22,36,58
23,Tamil Nadu,4954,12126,17080
24,Telangana,2830,4227,7057
25,Tripura,72,160,232
26,Uttarakhand,357,494,851
27,Uttar Pradesh,9033,11491,20524
28,West Bengal,1462,4164,5626
29,Andaman & Nicobar Islands,5,14,19
30,Chandigarh,79,0,79
31,Dadra & Nagar Haveli,26,62,88
32,Daman & Diu,NA,NA,NA
33,Delhi,1398,30,1428
34,Jammu & Kashmir,166,488,654
35,Ladakh,18,42,60
36,Lakshadweep,0,0,0
37,Puducherry,81,94,175
