S.No,States/UTs,Pedestrian Male,Pedestrian Female,Pedestrian Total,Bicycles Male,Bicycles Female,Bicycles Total,Two Wheelers Male,Two Wheelers Female,Two Wheelers Total,Auto Rickshaws Male,Auto Rickshaws Female,Auto Rickshaws Total,Cars, Taxis, Vans & LMV Male,Cars, Taxis, Vans & LMV Female,Cars, Taxis, Vans & LMV Total,Trucks/Lorries Male,Trucks/Lorries Female,Trucks/Lorries Total,Buses Male,Buses Female,Buses Total,Other Non-Motor Vehicles (E-Rickshaw) Male,Other Non-Motor Vehicles (E-Rickshaw) Female,Other Non-Motor Vehicles (E-Rickshaw) Total,Others Male,Others Female,Others Total
1,Andhra Pradesh,1274,330,1604,146,8,154,3274,429,3703,9,509,118,627,742,153,895,,,,,,,,,,,,,,,,,
2,Arunachal Pradesh,5,2,7,0,0,0,40,5,45,28,5,0,5,26,6,32,,,,,,,,,,,,,,,,,
3,Assam,321,185,506,303,5,308,765,106,871,17,211,50,261,293,78,371,,,,,,,,,,,,,,,,,
4,Bihar,2448,897,3345,479,45,524,2596,388,2984,11,380,133,513,452,104,556,,,,,,,,,,,,,,,,,
5,Chhattisgarh,558,183,741,164,8,172,3506,350,3856,8,33,13,46,295,68,363,,,,,,,,,,,,,,,,,
6,Goa,37,14,51,2,0,2,161,19,180,23,0,0,0,25,3,28,,,,,,,,,,,,,,,,,
7,Gujarat,1326,242,1568,154,7,161,2980,401,3381,10,296,83,379,862,183,1045,,,,,,,,,,,,,,,,,
8,Haryana,1007,224,1231,133,57,190,1355,90,1445,16,118,30,148,530,87,617,,,,,,,,,,,,,,,,,
9,Himachal Pradesh,157,42,199,4,0,4,249,24,273,21,2,0,2,338,51,389,,,,,,,,,,,,,,,,,
10,Jharkhand,375,104,479,95,8,103,1708,154,1862,15,181,38,219,413,67,480,,,,,,,,,,,,,,,,,
11,Karnataka,1751,354,2105,82,1,83,5185,501,5686,5,323,74,397,1241,295,1536,,,,,,,,,,,,,,,,,
12,Kerala,937,221,1158,91,0,91,2139,285,2424,13,188,39,227,240,64,304,,,,,,,,,,,,,,,,,
13,Madhya Pradesh,1368,304,1672,117,20,137,5521,836,6357,4,299,64,363,1457,337,1794,,,,,,,,,,,,,,,,,
14,Maharashtra,2435,459,2894,158,4,162,6978,755,7733,2,383,64,447,1945,274,2219,,,,,,,,,,,,,,,,,
15,Manipur,23,9,32,5,1,6,36,4,40,29,4,0,4,17,1,18,,,,,,,,,,,,,,,,,
16,Meghalaya,34,8,42,1,2,3,44,3,47,27,3,1,4,40,10,50,,,,,,,,,,,,,,,,,
17,Mizoram,6,3,9,1,0,1,33,5,38,31,3,2,5,35,3,38,,,,,,,,,,,,,,,,,
18,Nagaland,8,2,10,1,0,1,17,1,18,33,3,0,3,17,3,20,,,,,,,,,,,,,,,,,
19,Odisha,658,142,800,170,29,199,2292,206,2498,12,116,26,142,523,102,625,,,,,,,,,,,,,,,,,
20,Punjab,517,91,608,196,10,206,2053,253,2306,14,144,34,178,1017,146,1163,,,,,,,,,,,,,,,,,
21,Rajasthan,1444,301,1745,53,2,55,4285,497,4782,6,119,26,145,1906,315,2211,,,,,,,,,,,,,,,,,
22,Sikkim,6,3,9,0,0,0,17,3,20,32,0,0,0,17,3,20,,,,,,,,,,,,,,,,,
23,Tamil Nadu,3373,1054,4427,412,9,421,10080,1060,11140,1,216,51,267,790,261,1051,,,,,,,,,,,,,,,,,
24,Telangana,1139,319,1458,67,2,69,3608,369,3977,7,252,82,334,494,94,588,,,,,,,,,,,,,,,,,
25,Tripura,61,20,81,10,0,10,90,8,98,25,13,1,14,13,3,16,,,,,,,,,,,,,,,,,
26,Uttarakhand,243,47,290,21,0,21,301,26,327,20,3,1,4,236,42,278,,,,,,,,,,,,,,,,,
27,Uttar Pradesh,1564,395,1959,1236,176,1412,6146,813,6959,3,1179,235,1414,2998,538,3536,,,,,,,,,,,,,,,,,
28,West Bengal,2372,566,2938,220,40,260,772,91,863,18,249,141,390,436,68,504,,,,,,,,,,,,,,,,,
29,A & N Islands,2,1,3,1,0,1,8,2,10,34,0,0,0,2,0,2,,,,,,,,,,,,,,,,,
30,Chandigarh,16,7,23,12,0,12,35,5,40,29,3,2,5,0,0,0,,,,,,,,,,,,,,,,,
31,D & N Haveli,20,1,21,6,0,6,49,6,55,26,1,0,1,6,0,6,,,,,,,,,,,,,,,,,
32,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
33,Delhi,553,76,629,48,0,48,510,41,551,19,35,3,38,48,2,50,,,,,,,,,,,,,,,,,
34,Jammu & Kashmir,90,41,131,11,0,11,152,44,196,22,12,0,12,134,58,192,,,,,,,,,,,,,,,,,
35,Ladakh,4,0,4,0,0,0,4,0,4,35,0,0,0,28,3,31,,,,,,,,,,,,,,,,,
36,Lakshadweep,0,0,0,0,0,0,2,0,2,36,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
37,Puducherry,31,15,46,3,0,3,93,33,126,24,1,1,2,2,0,2,,,,,,,,,,,,,,,,,
 ,Total,All States Combined,26163,6662,32825,4402,434,4836,67084,7813,74897,5284,1312,6596,17618,3422,21040,,,,,,,,,,,,,,,,,
