S.No,States/UTs,06-900hrs (Day),09-1200hrs (Day),12-1500hrs (Day),15-1800hrs (Day),18-2100hrs (Night),21-2400hrs (Night),00-300hrs (Night),03-600hrs (Night),Unknown Time,Total Accidents,,
1,Andhra Pradesh,2303,3169,3181,3860,4611,2174,887,1049,15,21249,,
2,Arunachal Pradesh,22,32,31,32,33,29,22,18,8,227,,
3,Assam,871,1026,1077,1238,1114,846,371,298,182,7023,,
4,Bihar,1567,1680,1394,1779,1856,799,433,1075,218,10801,,
5,Chhattisgarh,1121,1883,2130,2464,3270,1458,451,502,0,13279,,
6,Goa,179,392,472,468,586,386,306,222,0,3011,,
7,Gujarat,1680,2328,2491,2649,3260,1662,889,710,82,15751,,
8,Haryana,1104,1297,1207,1401,1924,1207,964,774,551,10429,,
9,Himachal Pradesh,243,411,430,479,484,299,139,112,0,2597,,
10,Jharkhand,614,672,696,855,949,556,351,310,172,5175,,
11,Karnataka,3928,5044,5425,5038,7242,6440,1994,4473,178,39762,,
12,Kerala,5158,7810,6783,8693,9376,3840,912,1143,195,43910,,
13,Madhya Pradesh,4455,7329,8590,10389,11227,7286,2977,1801,378,54432,,
14,Maharashtra,3147,4772,4987,5696,6666,4173,2082,1610,250,33383,,
15,Manipur,49,103,71,82,115,69,16,3,0,508,,
16,Meghalaya,23,41,33,60,38,30,14,7,0,246,,
17,Mizoram,5,17,32,27,19,13,10,10,0,133,,
18,Nagaland,70,49,75,78,88,48,33,46,2,489,,
19,Odisha,1227,1755,1743,2101,2304,1159,559,606,209,11663,,
20,Punjab,679,729,758,938,1223,804,392,383,232,6138,,
21,Rajasthan,2394,3323,3828,4515,4740,2693,1193,759,169,23614,,
22,Sikkim,17,36,29,42,36,23,10,18,0,211,,
23,Tamil Nadu,7397,9202,9107,11506,16285,6247,1624,2737,0,64105,,
24,Telangana,2163,2988,3312,4051,4544,2515,1094,921,31,21619,,
25,Tripura,54,104,93,100,123,73,12,16,0,575,,
26,Uttarakhand,173,211,195,220,316,212,65,85,197,1674,,
27,Uttar Pradesh,4728,5299,5468,6443,6936,4488,3190,3092,2102,41746,,
28,West Bengal,1302,2018,1929,2055,2253,1643,1647,839,0,13686,,
29,A & N Islands,13,16,27,32,20,23,7,3,0,141,,
30,Chandigarh,16,18,25,36,34,64,36,8,0,237,,
31,D & N Haveli,21,24,23,41,47,30,9,1,0,196,,
32,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
33,Delhi,571,659,717,690,870,1113,633,398,1,5652,,
34,Jammu & Kashmir,823,986,1307,1317,1109,343,114,88,5,6092,,
35,Ladakh,43,83,114,60,50,18,2,0,4,374,,
36,Lakshadweep,0,1,0,0,0,1,1,0,0,3,,
37,Puducherry,144,157,199,202,261,151,32,35,1,181,,
Total, , 48,304 65,664 67,979 79,637 94,009 52,915 23,471 24,152 5,181 4,61,312
